日期,司机编号,平均星级,在线时长,抢单点击次数,成功抢单数,完成订单数,订单实际总公里数,车费收入
周五,1,5,9,69,16,15,133.4,777.8
周五,2,5,10.42,40,8,7,58.1,349.2
周五,3,5,15.67,31,3,3,15,90
周五,4,5,9,14,8,8,66,345.4
周五,5,5,5.92,19,4,4,31.1,164.2
周五,6,5,13.5,105,17,16,128.3,679
周五,7,4.9,11.17,32,10,8,67,357
周五,8,5,15.25,96,21,18,131.7,823.1
周五,9,5,15.17,37,11,10,132.8,681.6
周五,10,4.9,6.25,45,17,15,131.1,726.4
周五,11,5,13.67,50,10,10,97.6,516.4
周五,12,5,10.33,51,12,10,76.6,446.4
周五,13,5,7.42,71,20,20,107.7,695.7
周五,14,4.9,11.58,15,3,3,34.6,182.7
周五,15,5,12.83,104,19,18,211.8,1052.4
周五,16,5,4.67,60,7,6,33.6,230.5
周五,17,4.9,5.58,42,12,12,112,586
周五,18,5,16,29,6,6,39.8,240.7
周五,19,5,13.75,134,18,18,136.6,771.6
周五,20,5,3.75,51,9,7,103,532.2
周五,21,5,13.5,210,14,13,74.3,435.8
周五,22,5,14.42,11,2,2,22.8,101.8
周五,23,5,11.58,13,7,6,49.2,261.1
周五,24,4.9,10,15,4,4,17.1,132.7
周五,25,4.9,11,69,5,6,40.1,233.8
周五,26,4.9,15.92,78,18,17,209.6,1116.6
周五,27,5,17.33,42,9,8,118.9,603.7
周五,28,5,8.33,89,18,17,121,677.3
周五,29,5,4.17,51,12,12,264.3,1170.6
周五,30,4.9,8.17,61,9,9,248.3,1174
周五,31,5,14,63,13,11,265.5,1219.6
周五,32,5,13.5,149,27,27,178.2,1023.7
周五,33,5,6.42,41,6,6,38,269
周五,34,5,12.42,30,6,5,7,95.2
周五,35,4.9,12.5,165,10,10,68.8,407.5
周五,36,5,5.75,69,10,8,51.7,304.9
周五,37,5,15.5,137,21,19,117.5,735.8
周五,38,5,13.58,66,10,9,70.8,402.6
周五,39,5,16.83,117,9,8,16.1,169.8
周五,40,5,14.58,91,20,18,116.4,720.7
周五,41,5,9.25,73,15,13,99.9,551.7
周五,42,4.9,6.42,62,24,24,190.3,1007.8
周五,43,5,11.67,6,2,2,18.5,91.6
周五,44,4.9,7.25,109,17,15,120.3,710.8
周五,45,4.7,8.25,48,5,5,51,298.9
周五,46,5,14.58,52,13,12,116.7,626.3
周五,47,5,15.58,69,5,5,15.5,131.2
周五,48,5,16.67,41,13,11,102.1,580.9
周五,49,5,18.33,35,13,12,59.9,377.5
周五,50,4.9,8,134,13,10,53.7,320.4
周五,51,5,14.08,54,18,15,119.3,704.5
周五,52,5,6.75,37,16,14,113.9,633.2
周五,53,5,11,132,16,14,62.3,444.3
周五,54,4.9,8.33,53,14,13,101.3,597.8
周五,55,5,12.42,34,11,11,138,745
周五,56,4.9,5.17,56,16,12,69.5,449.2
周五,57,5,4.25,15,8,7,89.9,456.3
周五,58,5,12.33,69,5,4,39.3,225.1
周五,59,5,16.17,67,22,21,190,940.8
周五,60,5,6,82,24,24,113.5,810.3
周五,61,5,12.75,20,12,12,125,593.1
周五,62,4.9,13.08,32,18,17,180.5,905.7
周五,63,4.9,13.58,49,4,6,71.7,347
周五,64,5,15.67,28,11,9,85,429.2
周五,65,4.9,11.42,67,21,18,113,675.9
周五,66,4.9,14.33,57,21,20,82.3,635.5
周五,67,5,4.83,76,21,19,138,835.5
周五,68,5,15.25,11,5,4,35.7,188.6
周五,69,5,8,14,5,4,31.6,192.8
周五,70,5,8.58,54,19,18,228.6,1109.4
周五,71,5,4.25,25,8,8,57.3,313.5
周五,72,4.9,3.42,74,14,13,108.9,610
周五,73,5,4.08,30,10,9,112.9,601.6
周五,74,4.9,14,54,15,13,111.4,630.9
周五,75,4.9,10.08,16,6,5,47.7,250.1
周五,76,4.9,13.67,127,19,18,125.9,699.7
周五,77,4.9,13.33,70,10,9,61.6,329.7
周五,78,4.9,15.5,123,20,18,163.9,821.5
周五,79,5,1.33,143,13,11,53.8,401.1
周五,80,4.9,4.17,31,5,5,66.4,317.4
周五,81,4.8,8.75,115,23,21,163.2,928.1
周五,82,4.9,10.33,85,19,16,120.6,697
周五,83,5,14.75,69,16,14,194.2,930.4
周五,84,4.9,13.83,46,18,16,93.4,625.5
周五,85,5,9.42,47,12,10,233.4,1046.3
周五,86,5,3.42,48,24,22,92.5,675.8
周五,87,4.9,10.92,71,8,5,123,599.6
周五,88,4.9,16.67,39,10,6,104.3,496
周五,89,5,13.67,25,5,5,33.7,188.8
周五,90,5,6.17,55,18,15,129.7,692.3
周五,91,4.9,16,92,8,7,33,206.8
周五,92,4.9,12.92,56,21,20,113.5,740.4
周五,93,5,11.42,79,21,18,134,780.4
周五,94,4.9,14.25,42,10,6,68.8,374.7
周五,95,4.8,6.75,54,15,14,102.1,621.9
周五,96,4.8,5.58,72,14,12,97.6,567.7
周五,97,5,5.58,19,14,12,91.1,505.5
周五,98,5,4.5,35,13,13,62.6,391.9
周五,99,4.9,10.83,59,10,9,70.5,398.7
周五,100,4.9,9.5,124,23,19,163.7,887
周五,101,4.9,14.75,28,16,14,189.6,973.1
周五,102,4.8,10.42,31,3,3,19.1,109.4
周五,103,5,3.42,23,8,7,64.4,332.3
周五,104,4.9,6.92,73,11,10,112.2,538.8
周五,105,5,10.92,103,9,9,55.6,297.2
周五,106,5,14.83,58,5,5,148.5,686.9
周五,107,5,3.67,24,9,6,39.6,267.3
周五,108,4.9,9.83,15,9,9,60.7,357.8
周五,109,5,9.83,30,6,4,14.8,115
周五,110,4.7,9.42,70,19,17,146.2,814.8
周五,111,5,7.83,38,11,6,46.1,242.9
周五,112,4.8,5.17,50,5,4,84.6,376.2
周五,113,5,17.25,12,4,4,47.4,312.5
周五,114,4.9,13.58,78,20,16,203.1,934.3
周五,115,5,15.08,44,17,16,105.5,618.3
周五,116,4.8,8,27,2,2,10.1,63.9
周五,117,4.9,12.08,104,15,14,148,777.4
周五,118,5,3.17,62,18,17,111.1,661.5
周五,119,4.4,14.17,26,9,7,41.9,253.4
周五,120,4.9,10.08,39,9,8,51.7,305.9
周五,121,4.6,7.25,72,13,9,93.7,470
周五,122,5,5.58,65,12,10,66.5,345.9
周五,123,4.9,3.42,4,3,3,18.6,107
