"term","weight"
"一帆风顺",1
"一帆风顺的",1
"一流",1
"一致",1
"一致的",1
"了不起",1
"了不起的",1
"了解",1
"人性",1
"人性的",1
"人格高尚",1
"人格高尚的",1
"人情",1
"人情味",1
"入神",1
"入神的",1
"入迷",1
"入迷的",1
"上好",1
"上好的",1
"上等",1
"上等的",1
"口头通过",1
"大方",1
"大方的",1
"大无畏",1
"大无畏的",1
"大量的",1
"大胆",1
"大胆的",1
"小天使",1
"小心",1
"小心的",1
"小心谨慎",1
"小心谨慎的",1
"工整",1
"工整的",1
"才气",1
"才能",1
"才智",1
"才干",1
"才艺",1
"不凡",1
"不凡的",1
"不凡的人",1
"不可名状",1
"不可名状的",1
"不可否认",1
"不可否认的",1
"不可侵犯",1
"不可侵犯的",1
"不可思议",1
"不可思议的",1
"不任性",1
"不任性的",1
"不成为问题",1
"不成为问题的",1
"不自私",1
"不自私的",1
"不含糊",1
"不含糊的",1
"不受约束",1
"不受约束的",1
"不屈不挠",1
"不屈不挠的",1
"不屈服",1
"不屈服的",1
"不拘泥",1
"不拘泥的",1
"不迫",1
"不偏不倚",1
"不偏不倚地",1
"不偏不倚的",1
"不动摇",1
"不动摇的",1
"不犹豫",1
"不犹豫的",1
"不慌忙",1
"不慌忙的",1
"不会弄错",1
"不会弄错的",1
"不会受伤害",1
"不会受伤害的",1
"不懈",1
"中和",1
"中肯",1
"中肯的",1
"井然有序",1
"井然有序的",1
"互助",1
"互助的",1
"互相密合着",1
"互相密合着的",1
"仁慈",1
"仁慈的",1
"允诺",1
"内行",1
"内行的",1
"公平",1
"公平地",1
"公平的",1
"公正",1
"公正地",1
"公正的",1
"公开",1
"公开的",1
"分寸",1
"切实",1
"切实的",1
"切题",1
"切题的",1
"匀称",1
"匀称的",1
"升起",1
"友好",1
"友好的",1
"友善",1
"友善的",1
"友爱",1
"友爱的",1
"友谊",1
"及格",1
"天才",1
"天才人物",1
"天使",1
"天使的",1
"天使般的人",1
"天真",1
"天真的",1
"天真无邪",1
"天堂",1
"天然",1
"天然的",1
"天资",1
"天赋",1
"引人注目",1
"引人注目的",1
"引人赞美",1
"引人赞美的人",1
"引以为荣",1
"引以为荣的事物",1
"心甘情愿",1
"心甘情愿的",1
"心情愉快",1
"心情愉快的",1
"心情舒畅",1
"心情舒畅的",1
"心爱",1
"心爱的",1
"心满意足",1
"心满意足地注视",1
"心醉",1
"心醉神迷",1
"手艺",1
"支援",1
"文雅",1
"文雅的",1
"方便",1
"方便的",1
"比较好",1
"主动",1
"主动的",1
"令人高兴",1
"令人高兴的",1
"令人喜悦",1
"令人喜悦的",1
"令人愉快",1
"令人愉快的",1
"令人钦佩",1
"令人钦佩的",1
"令人满意",1
"令人满意地",1
"令人满意的",1
"令人难忘",1
"令人难忘的",1
"令人惊奇",1
"令人惊奇的",1
"充分",1
"充份",1
"充份的",1
"充沛",1
"充足",1
"充足的",1
"充裕",1
"充满深情",1
"充满深情的",1
"出名",1
"出名的",1
"出色",1
"出色的",1
"出神",1
"出神的",1
"出众",1
"出众的",1
"加薪",1
"功绩",1
"去除",1
"可了解",1
"可了解的",1
"可口",1
"可口的",1
"可以接受",1
"可以接受的",1
"可用",1
"可用的",1
"可行",1
"可行的",1
"可忍受",1
"可忍受的",1
"可取",1
"可取的",1
"可信",1
"可信任",1
"可信任的",1
"可信的",1
"可信赖",1
"可信赖性",1
"可信赖的",1
"可理解",1
"可理解的",1
"可喜",1
"可喜的",1
"可尊敬",1
"可尊敬的",1
"可钦佩",1
"可钦佩的",1
"可贵",1
"可贵的",1
"可爱",1
"可爱地",1
"可爱的",1
"可敬",1
"可敬的",1
"可敬重",1
"可敬重的",1
"可经营",1
"可经营的",1
